antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Cilantro'}),frozenset({'Limes'}),0.037436959176089614,0.06405478579391623,0.010691723735201997,0.2855927396483267,4.458569896200506,1.0,0.00829370733440199,1.3101003673245935,0.8058826305844637,0.11775023386342376,0.23669970260206974,0.22625401941806356
frozenset({'Limes'}),frozenset({'Organic Cilantro'}),0.06405478579391623,0.037436959176089614,0.010691723735201997,0.16691529918780043,4.458569896200506,1.0,0.00829370733440199,1.1554203790868787,0.8288015405907626,0.11775023386342376,0.1345141403942574,0.22625401941806356
frozenset({'Limes'}),frozenset({'Large Lemon'}),0.06405478579391623,0.08637256463343419,0.016934756065190848,0.26437924747223607,3.0609169542928774,1.0,0.011402179939125037,1.2419815947648696,0.7193802611106892,0.12685914260717412,0.19483508917109305,0.23022281365621639
frozenset({'Large Lemon'}),frozenset({'Limes'}),0.08637256463343419,0.06405478579391623,0.016934756065190848,0.1960663798401967,3.060916954292877,1.0,0.011402179939125037,1.1642070821967112,0.7369530363443286,0.12685914260717412,0.14104628352446827,0.23022281365621639
frozenset({'Organic Strawberries'}),frozenset({'Organic Raspberries'}),0.11566597653554175,0.0588841110580241,0.01773106120932208,0.15329539195887645,2.603340514180811,1.0,0.01092017300136843,1.1115043900838992,0.6964315788588268,0.11306702775897089,0.10031844325462583,0.22720665739306967
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.0588841110580241,0.11566597653554175,0.01773106120932208,0.3011179228272629,2.603340514180811,1.0,0.01092017300136843,1.2653551326454813,0.6544126471951459,0.11306702775897089,0.20970803041728106,0.22720665739306967
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Raspberries'}),0.07743271221532091,0.0588841110580241,0.010819132558262994,0.13972302207596327,2.3728476080462677,1.0,0.006259576132652017,1.0939684695654814,0.6271254600648716,0.0862098138747885,0.08589687196634213,0.16172952402031124
frozenset({'Organic Raspberries'}),frozenset({'Organic Hass Avocado'}),0.0588841110580241,0.07743271221532091,0.010819132558262994,0.1837360259646592,2.3728476080462673,1.0,0.006259576132652017,1.1302315392210802,0.6147653456825644,0.0862098138747885,0.11522553981357808,0.16172952402031124
frozenset({'Organic Strawberries'}),frozenset({'Organic Blueberries'}),0.11566597653554175,0.05272601794340925,0.01347348303870043,0.11648613915917018,2.209272456042377,1.0,0.007374876684445503,1.0721665205739739,0.6189542490895068,0.0869714207388116,0.06730905991668192,0.1860118976101932
frozenset({'Organic Blueberries'}),frozenset({'Organic Strawberries'}),0.05272601794340925,0.11566597653554175,0.01347348303870043,0.25553765606121626,2.2092724560423767,1.0,0.007374876684445503,1.1878828132335677,0.5778289194108217,0.0869714207388116,0.15816611802146274,0.1860118976101932
frozenset({'Limes'}),frozenset({'Organic Avocado'}),0.06405478579391623,0.07866433083824388,0.011010245792854489,0.17188794961047574,2.1850811896426854,1.0,0.005971418931389018,1.1125736773524568,0.5794688546643769,0.08359532446594115,0.10118312130154256,0.1559264285776768
frozenset({'Organic Avocado'}),frozenset({'Limes'}),0.07866433083824388,0.06405478579391623,0.011010245792854489,0.13996490754487786,2.1850811896426854,1.0,0.005971418931389018,1.0882639818036528,0.5886574453348178,0.08359532446594115,0.08110530466823579,0.1559264285776768
frozenset({'Organic Avocado'}),frozenset({'Large Lemon'}),0.07866433083824388,0.08637256463343419,0.01432287519244041,0.18207585369145635,2.108028799007968,1.0,0.0075284351927683395,1.117007536077704,0.5705012805992208,0.09503346248679112,0.10475089227111932,0.17395126427658253
frozenset({'Large Lemon'}),frozenset({'Organic Avocado'}),0.08637256463343419,0.07866433083824388,0.01432287519244041,0.16582667486170868,2.108028799007968,1.0,0.0075284351927683395,1.1044894884513536,0.5753145743785937,0.09503346248679112,0.09460433036611543,0.17395126427658253
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Large Extra Fancy Fuji Apple'}),0.1643573817486861,0.030694908955778522,0.010330732069862505,0.06285529715762274,2.0477433977138353,1.0,0.00528579720087645,1.0343174198224683,0.6122923273730928,0.05592596850212668,0.03317880871460006,0.19970852024951355
frozenset({'Organic Large Extra Fancy Fuji Apple'}),frozenset({'Bag of Organic Bananas'}),0.030694908955778522,0.1643573817486861,0.010330732069862505,0.3365617433414044,2.0477433977138353,1.0,0.00528579720087645,1.25956350853209,0.5278601838664017,0.05592596850212668,0.20607417313525403,0.19970852024951355
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.1643573817486861,0.07743271221532091,0.025694112650634388,0.15633074935400515,2.018923848609211,1.0,0.012967474809224739,1.0935177346789304,0.6039503092676334,0.11890139045840907,0.08552008962743377,0.2440778935306979
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.07743271221532091,0.1643573817486861,0.025694112650634388,0.33182503770739064,2.018923848609211,1.0,0.012967474809224739,1.250634437698919,0.5470458625754855,0.11890139045840907,0.20040583414612267,0.2440778935306979
